_id,address,baths,beds,cost,sq_ft,data_type,city,zip,source,lat,lon
5e1509d2708b1eed4f3b9a07, 11504 gun fight ln,4.0,5.0,625000.0,3339.0,Residential,Austin,78748,austin_realty,30.161392499999998,-97.8541567
5e1509d2708b1eed4f3b9a08, 1812 west ave  #301,2.0,2.0,600000.0,1629.0,Residential,Austin,78701,austin_realty,30.2826594,-97.74637790000001
5e1509d2708b1eed4f3b9a09, 3505 hollywood ave,2.0,3.0,600000.0,1860.0,Residential,Austin,78722,austin_realty,30.2923358,-97.718609
5e1509d2708b1eed4f3b9a0a, 9701 derecho bnd,4.0,5.0,575000.0,4047.0,Residential,Austin,78737,austin_realty,30.2218147,-97.9332182
5e1509d2708b1eed4f3b9a0b, 1616 elmira rd,2.0,3.0,570000.0,1756.0,Residential,Austin,78721,austin_realty,30.283876,-97.6862808
5e1509d2708b1eed4f3b9a0c, 5670 oak blvd,2.0,4.0,564000.0,2195.0,Residential,Austin,78735,austin_realty,30.237785700000003,-97.84750340000001
5e1509d2708b1eed4f3b9a0d, 3216 magenta sky trl,4.0,4.0,530000.0,2997.0,Residential,Austin,78732,austin_realty,30.3788114,-97.9034801
5e1509d2708b1eed4f3b9a0e, 7711 gault st  #a,3.0,3.0,529000.0,1680.0,Residential,Austin,78757,austin_realty,30.348525800000004,-97.7193939
5e1509d2708b1eed4f3b9a0f, 6104 reicher dr,3.0,5.0,525000.0,1984.0,Residential,Austin,78723,austin_realty,30.306042100000003,-97.675
5e1509d2708b1eed4f3b9a10, 1122 chicon st,2.0,3.0,525000.0,1442.0,Residential,Austin,78702,austin_realty,30.2671137,-97.7202636
5e1509d2708b1eed4f3b9a11, 5004 rowena ave  #b,3.0,3.0,524900.0,1569.0,Residential,Austin,78751,austin_realty,30.315108000000002,-97.723632
5e1509d2708b1eed4f3b9a12, 7 longwood rd,2.0,4.0,523500.0,1952.0,Residential,Austin,78737,austin_realty,30.221541100000003,-97.9877913
5e1509d2708b1eed4f3b9a13, 7800 southwest pkwy  #1612,3.0,3.0,485000.0,2451.0,Residential,Austin,78735,austin_realty,30.259147,-97.8789133
5e1509d2708b1eed4f3b9a14, 24 borello dr  #24,2.0,3.0,483000.0,2211.0,Residential,Austin,78738,austin_realty,30.3390017,-97.9811049
5e1509d2708b1eed4f3b9a15, 4361 s congress ave  #610,2.0,2.0,475000.0,1370.0,Residential,Austin,78745,austin_realty,30.2177976,-97.7667556
5e1509d2708b1eed4f3b9a16, 11608 sherwood frst,3.0,4.0,465000.0,2283.0,Residential,Austin,78759,austin_realty,30.431163399999996,-97.7752255
5e1509d2708b1eed4f3b9a17, 6504 willamette dr,2.0,4.0,459900.0,2354.0,Residential,Austin,78723,austin_realty,30.3145428,-97.6791233
5e1509d2708b1eed4f3b9a18, 11136 rio vista dr,3.0,3.0,445000.0,2852.0,Residential,Austin,78726,austin_realty,30.435667,-97.8274046
5e1509d2708b1eed4f3b9a19, 1903 joy ln,2.0,3.0,425000.0,1604.0,Residential,Austin,78757,austin_realty,30.3648712,-97.7222151
5e1509d2708b1eed4f3b9a1a, 197 swallowtail dr,3.0,4.0,425000.0,2731.0,Residential,Austin,78737,austin_realty,30.164938300000003,-97.9955847
5e1509d2708b1eed4f3b9a1b, 1901 crested butte dr  #2,3.0,2.0,425000.0,1699.0,Residential,Austin,78746,austin_realty,30.2604822,-97.798936
5e1509d2708b1eed4f3b9a1c, 2008 amur dr,3.0,3.0,424900.0,2074.0,Residential,Austin,78745,austin_realty,30.2129387,-97.8041165
5e1509d2708b1eed4f3b9a1d, 4109 e 12th st  #2,3.0,3.0,420000.0,1623.0,Residential,Austin,78721,austin_realty,30.2782968,-97.6887453
5e1509d2708b1eed4f3b9a1e, 711 w 26th st  #606,2.0,2.0,420000.0,1122.0,Residential,Austin,78705,austin_realty,30.290110499999997,-97.7473308
5e1509d2708b1eed4f3b9a1f, 5105 avenue h  #a,1.0,2.0,410000.0,1014.0,Residential,Austin,78751,austin_realty,30.3149822,-97.72030600000001
5e1509d2708b1eed4f3b9a20, 1109 mahan dr  #a,3.0,3.0,400000.0,1489.0,Residential,Austin,78721,austin_realty,30.262557300000005,-97.68505959999999
5e1509d2708b1eed4f3b9a21, 7105 cherry beam path,3.0,4.0,395000.0,2515.0,Residential,Austin,78744,austin_realty,30.164389899999996,-97.7229228
5e1509d2708b1eed4f3b9a22, 3503 grayson ln,1.0,2.0,389000.0,1005.0,Residential,Austin,78722,austin_realty,30.287316399999998,-97.7097535
5e1509d2708b1eed4f3b9a23, 9900 willers way,2.0,3.0,385000.0,1469.0,Residential,Austin,78748,austin_realty,30.177020000000002,-97.8304001
5e1509d2708b1eed4f3b9a24, 3108 e 51st st  #404,3.0,2.0,385000.0,1436.0,Residential,Austin,78723,austin_realty,30.294454700000003,-97.6792439
5e1509d2708b1eed4f3b9a25, 1903 magazine st,2.0,3.0,384900.0,1517.0,Residential,Austin,78727,austin_realty,30.4242929,-97.6866285
5e1509d2708b1eed4f3b9a26, 16505 sydney carol ln,3.0,3.0,384474.0,1742.0,Residential,Austin,78734,austin_realty,30.4096581,-97.93133780000001
5e1509d2708b1eed4f3b9a27, 16503 sydney carol ln,3.0,3.0,383427.0,1674.0,Residential,Austin,78734,austin_realty,30.4096581,-97.93133780000001
5e1509d2708b1eed4f3b9a28, 1322 e 12th st  #204,1.0,1.0,380000.0,1170.0,Residential,Austin,78702,austin_realty,30.273127000000002,-97.7257209
5e1509d2708b1eed4f3b9a29, 261 canterbury dr,2.0,3.0,375000.0,2345.0,Residential,Austin,78737,austin_realty,30.196834000000003,-97.98862170000001
5e1509d2708b1eed4f3b9a2a, 12008 wander ln,2.0,4.0,365000.0,1633.0,Residential,Austin,78750,austin_realty,30.457044500000002,-97.81285340000001
5e1509d2708b1eed4f3b9a2b, 13501 metric blvd  #8,3.0,3.0,364900.0,1718.0,Residential,Austin,78727,austin_realty,30.4238368,-97.6780421
5e1509d2708b1eed4f3b9a2c, 12100 terraza cir,3.0,3.0,357000.0,2248.0,Residential,Austin,78726,austin_realty,30.428440000000002,-97.8457886
5e1509d2708b1eed4f3b9a2d, 4808 san simeon dr,2.0,3.0,350000.0,1733.0,Residential,Austin,78749,austin_realty,30.2106265,-97.8550493
5e1509d2708b1eed4f3b9a2e, 16509 sydney carol ln,3.0,2.0,339989.0,1377.0,Residential,Austin,78734,austin_realty,30.4096581,-97.93133780000001
5e1509d2708b1eed4f3b9a2f, 11310 spicewood club dr  #7,3.0,2.0,338000.0,1531.0,Residential,Austin,78750,austin_realty,30.441232399999997,-97.8065979
5e1509d2708b1eed4f3b9a30, 11603 quarter horse trl,2.0,4.0,335000.0,2081.0,Residential,Austin,78750,austin_realty,30.4604784,-97.8189709
5e1509d2708b1eed4f3b9a31, 2502 leon st  #408,2.0,2.0,329000.0,925.0,Residential,Austin,78705,austin_realty,30.289858000000002,-97.7495217
5e1509d2708b1eed4f3b9a32, 12604 dringenberg dr,3.0,3.0,319000.0,1860.0,Residential,Austin,78729,austin_realty,30.4410769,-97.7597299
5e1509d2708b1eed4f3b9a33, 1400 kamar dr,1.0,3.0,300000.0,910.0,Residential,Austin,78757,austin_realty,30.3564692,-97.71746360000002
5e1509d2708b1eed4f3b9a34, 10217 pinnacle crest loop,3.0,5.0,300000.0,2432.0,Residential,Austin,78747,austin_realty,30.139708399999996,-97.765206
5e1509d2708b1eed4f3b9a35, 4361 s congress ave  #213,1.0,1.0,294800.0,825.0,Residential,Austin,78745,austin_realty,30.2177976,-97.7667556
5e1509d2708b1eed4f3b9a36, 9105 winter haven rd,3.0,3.0,279900.0,2646.0,Residential,Austin,78747,austin_realty,30.1472728,-97.7411398
5e1509d2708b1eed4f3b9a37, 5108 regency dr,2.0,3.0,279900.0,1378.0,Residential,Austin,78724,austin_realty,30.2866635,-97.6612327
5e1509d2708b1eed4f3b9a38, 8900 parker ranch cir  #a,3.0,3.0,278502.0,1559.0,Residential,Austin,78748,austin_realty,30.1900354,-97.83241120000001
5e1509d2708b1eed4f3b9a39, 2918 ranch road 620  #w-221,3.0,2.0,269000.0,1395.0,Residential,Austin,78734,austin_realty,30.3919722,-97.9372269
5e1509d2708b1eed4f3b9a3a, 10305 laredo dr  #143,3.0,3.0,265000.0,1462.0,Residential,Austin,78748,austin_realty,30.165944300000003,-97.8251293
5e1509d2708b1eed4f3b9a3b, 6100 boxcar run,2.0,3.0,249000.0,1136.0,Residential,Austin,78745,austin_realty,30.208925699999998,-97.7963622
5e1509d2708b1eed4f3b9a3c, 3512 autumn bay dr,3.0,4.0,247000.0,1992.0,Residential,Austin,78744,austin_realty,30.20078539999999,-97.6947707
5e1509d2708b1eed4f3b9a3d, 2200 dickson dr  #129,1.0,1.0,240000.0,736.0,Residential,Austin,78704,austin_realty,30.248154100000004,-97.7807395
5e1509d2708b1eed4f3b9a3e, 935 la posada dr  #213,2.0,2.0,235000.0,1080.0,Residential,Austin,78752,austin_realty,30.3255798,-97.7046429
5e1509d2708b1eed4f3b9a3f, 1725 monahans ln,3.0,2.0,235000.0,1515.0,Residential,Austin,78748,austin_realty,30.1532654,-97.8289535
5e1509d2708b1eed4f3b9a40, 2701 northeast dr  #a,3.0,2.0,232000.0,1239.0,Residential,Austin,78723,austin_realty,30.312206,-97.677763
5e1509d2708b1eed4f3b9a41, 6910 hart ln  #210,2.0,2.0,225000.0,967.0,Residential,Austin,78731,austin_realty,30.3532011,-97.7601939
